wallet_address,tier,roi_pct,win_rate,reason
XY2joC2DwF2HH1UAVUegiKYDPXLcgvXwTPZfxQRWn3k,Elite,124737.46407500442,1.0,inactive (999 days)
3CvGrHWNyRaaHu5GvvGfZEzTTfuCPxrnbhhZxUJGVayA,Elite,82224.58333459088,1.0,inactive (999 days)
CgXBBVgRqa5QCEdkBGdBFgc8joQqeBhmHHYWKkvcad3Y,Elite,149.20307348344707,1.0,inactive (999 days)
5zMzZ5ibjcJ8bg5rgd712K49t8wyerQmgPoJ1tBLLTwQ,Elite,6363.597381240291,1.0,inactive (999 days)
7mMjYweb6VpEiLngCQ1nNt2wqdvu7MG65RD3XPrw7YZs,Elite,9042.403095456675,1.0,inactive (999 days)
HoiNUHSwttimqUn2yFdwt85MRLnwLSjTcGDr21Rosjiz,Elite,105.85463774661383,1.0,inactive (999 days)
BbWHrSdn5xM9PdK182ALrE7fQrcRKx79HAwmuPo3SdaC,Elite,147.21019285791644,1.0,inactive (999 days)
6AcT6vF6uuAXzBxWbSX73NQaaURinJEYXVkrKBtF8dfA,Elite,94.48744981249531,1.0,inactive (999 days)
58FHn7kNPi2BfsHSu61sKUjn5mjRwhysFiszjZ4bUSZM,Elite,273.45164714113645,0.8666666666666667,inactive (999 days)
4EH92iYK8wua8MyqNExVeiXy5VJUAweXqJPuTWqCvNB8,High-Quality,2011.4220575429179,1.0,inactive (999 days)
6WJt4LvWos4RY6ntrKbgeNjHfGauBvYsvk3nvF9rycCQ,High-Quality,52.56469359097735,1.0,inactive (999 days)
CskAmpNFACaFELbVHdgezJu1uda2ivLvH2xFoiKdmPCS,High-Quality,1418.811446210157,1.0,inactive (999 days)
BK5bLTPmg3Ypo4SeGPjM79YhzugU2t6WH3EYazttcddQ,High-Quality,424.2385528424102,1.0,inactive (999 days)
GWM5CZhJ8CppvLC7JGMhcK4DHbK2x6jJp9i34puczZDc,High-Quality,941.3422910155352,0.9523809523809523,inactive (999 days)
AgTM7bcPQo2kkru8o2igeiwbAjJY2bubEHHZUQPRhyqG,High-Quality,611.8373387711417,0.9444444444444444,inactive (999 days)
7Wh7ohc4kCbJ7a3f8J9vkjaYCjFcB78VSytgT8RtRgt8,High-Quality,868.8340253451988,1.0,inactive (999 days)
FP1CLVYwpxYJAtE3vEyASi54pEPGzcobReJbwRSTUn3P,High-Quality,4176.725807710167,0.8,inactive (999 days)
GecjyPzofWXKtMKMyYmdCWuNyoPEDFgkNci1btHJyKdx,High-Quality,81.76515248019172,0.8,inactive (999 days)
EADN9zG42i4gtFySppaAFQA6YnPU9WyBpRuVPw4XQPhF,High-Quality,120.82873143422226,0.8,inactive (999 days)
wVjCqVMTJdSg6GsFWLCHXRDXmFgKNx7ygz7u3Wkmhk2,High-Quality,36.219607023431976,0.5217391304347826,inactive (999 days)
4egGRgSQvQHSTxrAaJLepL5xqz4fbuf3SiD2ZMNeZso3,High-Quality,74.26839436592648,0.75,inactive (999 days)
AGYKXUik9hcCxXimFRSnxuvmbuXyAB7JFuCgm22osawe,High-Quality,58.93991955194811,0.6666666666666666,inactive (999 days)
9c6StdpHGRUFmuPPPtXk5wyvk52t2HFD45nz4xtMYP9a,Mid-Tier,35.54417770366188,0.5,inactive (999 days)
